"Service","EC2-Other($)","Tax($)","Glue($)","S3($)","Support (Business)($)","CloudWatch($)","Savings Plans for  Compute usage($)","Relational Database Service($)","Cognito($)","CloudFront($)","CloudTrail($)","EC2-Instances($)","ElastiCache($)","MQ($)","VPC($)","Managed Streaming for Apache Kafka($)","Systems Manager($)","OpenSearch Service($)","Elastic Load Balancing($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","DocumentDB (with MongoDB compatibility)($)","Certificate Manager($)","Route 53($)","API Gateway($)","QuickSight($)","EC2 Container Registry (ECR)($)","Hardened Red Hat Enterprise 7 (RHEL 7)($)","CIS  Linux 2 Benchmark - Level 2($)","CIS Ubuntu Linux 20.04 LTS Benchmark - Level 1($)","Redshift($)","DMS($)","Elastic MapReduce($)","Key Management Service($)","SQS($)","Managed Workflows for Apache Airflow($)","WAF($)","Kinesis($)","Lambda($)","Kinesis Firehose($)","Athena($)","Secrets Manager($)","Cost Explorer($)","SNS($)","CIS Ubuntu Linux 22.04 LTS Benchmark - Level 1($)","Service Catalog($)","SES($)","Direct Connect($)","CloudWatch Events($)","Budgets($)","Config($)","Glacier($)","Simple Workflow Service($)","Step Functions($)","X-Ray($)","CloudShell($)","CodeArtifact($)","Refund($)","Total costs($)"
"2023-04-18","492.1648679586","","771.3961748808","179.7102982116","","70.3774627391","111.6","33.9927670333","","16.2413126177","16.3640196","115.4623978373","22.63248","23.1338770049","17.3933686877","","","17.0603248417","9.4118269409","11.16","0.0000160833","2.5910166557","","","0.0052060959","6.696","1.0754464655","2.88","0.96","0.48","","","","0.7105302324","0.0294315334","","0.1860000024","","0.0482472087","0.0314043238","0.08570415","0.0615995836","","0.0143330439","","","0.000146674","","0.0001053528","","","0.0000017329","","0.0000008804","","0","","","1923.9563683723"
"2023-04-19","494.6783629802","","1512.3236676276","186.4762875213","","71.7080977838","111.6","33.9962297991","","17.8176468632","17.746446","115.2971425024","22.63248","23.1304547712","11.5310952115","","0.0027621","17.0603080666","9.5418529582","11.16","0.0000118407","2.5913870419","","","0.0070647009","6.696","1.081879967","2.88","1.22","0.48","","","","0.7103014524","0.0294408428","","0.1860000024","","0.0492161544","0.0315443292","0.13671","0.0642108182","","0.0117051572","","","0.0001466725","","0.0001049064","","","0.0000017606","","0.0000009132","","","","","2672.8785607449"
"2023-04-20","488.2596511808","","658.97077704","182.8004611358","","70.0570417727","111.6","33.9968745552","0","16.5016992181","16.325871","112.4394165997","22.63248","23.1289875229","20.1197544607","","","17.0602676857","9.48190972","11.16","0.0000081358","2.5929641422","","","0.0168264459","6.696","1.0833749324","2.88","1.44","0.48","","","","0.7098913224","0.0294319054","","0.1860000024","","0.0483229062","0.0318523941","1.08348255","0.0666779016","","0.0117077988","","","0.0001434072","","0.0001046832","","","0.0000017459","","0.0000009132","","0","","","1811.8919830783"
"2023-04-21","483.8358590936","","540.0567931932","177.1855856345","","70.1561282749","111.6","33.9971415355","","16.8298485477","16.339542","112.8663086859","22.63248","23.1300628659","19.19666826","","","17.0602198992","9.4586867204","11.16","0.0000001932","2.5934616208","","","0.0101602059","6.696","1.0834887576","2.88","1.44","0.48","","","","0.7099136424","0.0294263254","","0.1860000024","","0.0486248038","0.0315427622","0.09855675","0.0668964516","","0.0122998651","","","0.0001391783","","0.000106068","","","0.000001728","","0.0000008654","","","","","1681.8719439309"
"2023-04-22","479.5096392094","","279.200732874","172.0263366154","","67.4019283655","111.6","33.9998675129","","14.7116268104","15.7499778","119.2644753376","22.63248","23.128049355","19.7644687214","","","17.0602195097","9.2445893154","11.16","0.0000001932","2.5911187063","","","0.0037576209","6.696","1.0872872864","2.88","1.44","0.48","","","","0.7099666524","0.029415528","","0.1860000024","","0.0480355615","0.0313814634","","0.0668825016","","0.0124745445","","","0.0000974193","","0.00010446","","","0.0000017103","","0.0000008552","","","","","1412.7169159321"
"2023-04-23","481.5733760536","","237.4260779772","172.8845815478","","67.2156304437","111.6","34.0004527","0","13.8332591459","15.6510258","120.6419678527","22.63248","23.1287325989","46.467564669","","","17.0602205774","9.1513962309","11.16","0.0000001932","2.5894158939","","","0.0038552709","6.696","1.0881079608","2.88","1.44","0.48","","","","0.7098299424","0.0294248374","","0.1860000024","","0.0477674368","0.0313990314","","0.0670127016","","0.01440176","","","0.0000920612","","0.0001037904","","","0.0000016992","","0.0000005686","","","","","1400.6901787473"
"2023-04-24","469.8857813969","","1273.7839669164","167.9681218417","","71.0234395713","111.6","34.0001076645","","16.3524843021","16.3843866","120.6739276107","22.63248","23.1338675597","22.9209859262","","","17.0602205953","9.4374656347","11.16","0.0000001932","2.5955259144","","","0.0063095409","6.696","1.0881079608","2.88","1.44","0.48","","","","0.7098243624","0.029431896","","0.1860000024","","0.0489651148","0.0316433973","0.05003865","0.0666825516","","0.0126512321","","","0.0001486212","","0.000105576","","","0.0000017022","","0.0000007834","","","","","2404.3386731182"
"2023-04-25","468.4860572147","","587.0645921652","201.7959729151","","72.5638945609","111.6","34.0075389719","","18.6456882933","17.7854874","120.6148396974","22.63248","23.1358476656","26.0106838136","","","17.0602151854","9.7079717846","11.16","0.0000001932","2.5980070647","","","0.0041644959","6.696","1.0887101618","2.88","1.44","0.48","","","","0.7095369924","0.0294248374","","0.1860000024","","0.0481911507","0.0316050883","1.76493075","0.0668964516","","0.0137399332","","","0.0001538113","","0.0001049064","","","0.0000017944","","0.0000007848","","","","","1760.3087380862"
"2023-04-26","472.0701927481","","265.246564242","198.4119158715","","69.1260426548","111.6","36.0726912729","0","18.0166364915","15.348627","125.922569877","22.63248","23.1336069481","41.669843672","","0.003749016","17.0602126549","9.5680915605","11.16","0.0001000072","2.5987131515","","","0.0042654009","6.696","1.0896243099","2.88","1.44","0.5","","","","0.6948030024","0.0294240934","","0.1860000024","","0.047921023","0.0327997293","0.50088405","0.0666686016","","0.0152771618","","","0.0023870377","","0.000105576","","","0.0000018923","","0.000000769","","","","","1453.8281998177"
"2023-04-27","474.569718975","","367.0373032356","173.5813046798","","72.1051948798","111.6","40.6197435913","","18.8333700781","14.8152534","136.9163372242","22.63248","23.1327098839","17.831079572","","0.00003534","17.0602130888","9.6162819812","11.16","0.0000436135","2.5996360227","","","0.0074585559","6.696","1.0914641901","2.88","1.42","0.48","","","","0.6889161024","0.0294501522","","0.1860217644","","0.0483067214","0.0346421879","0.0004185","0.0642134016","","0.0163799749","","","0.0023833551","","0.0001046832","","","0.0000018925","","0.0000005479","","","","","1527.7564675954"
"2023-04-28","477.9167953052","","322.974695484","178.64009278","","71.3449729676","111.6","40.6245311642","0","19.6583236277","15.081345","143.0804703314","22.63248","23.1283498194","22.0824938328","","0.00003534","17.0602125745","9.709503473","11.16","0.0000001932","2.6040267953","","","0.0060198459","6.696","1.0986602924","2.88","1.44","0.48","","","","0.6886761624","0.0294419682","","0.1860000024","","0.0477082734","0.0348860424","0.00502665","0.0636414516","","0.0153427968","","","0.0023790684","","0.000105576","","","0.0000018451","","0.0000008289","","","","","1502.9722194922"
"2023-04-29","475.1239280317","","202.5176519916","174.4336135693","","68.3674973795","111.6","40.6292019115","","16.7707263682","14.6946138","145.219024145","22.63248","23.1248988107","49.9666298342","","0.00279744","17.0602127412","9.3990623099","11.16","0.0000001932","2.604391002","","","0.0054013959","6.696","1.0998250008","2.88","1.44","0.48","","","","0.6901688124","0.0294408522","","0.1860000024","","0.0475096238","0.035046326","","0.0632927016","","0.0155185374","","","0.0023721477","","0.00010446","","","0.0000018976","","0.0000003436","","","","","1398.9774116294"
"2023-04-30","467.6138398958","","219.645462996","175.5604279617","","66.5411661392","111.6","40.6199244392","","15.3548186864","15.0494088","142.4684664063","22.63248","23.10605528","20.4286575884","","0.00003534","17.060215349","9.2585816664","11.16","0.0000001932","2.5979289832","","","0.0055413609","6.696","1.0998250008","2.88","1.44","0.48","","","","0.6890053824","0.0294315428","","0.1860000024","","0.0487476668","0.034916259","0.02780235","0.0632927016","","0.0154196343","","","0.0023364554","","0.0001040136","","","0.0000019557","","0.0000008743","","","","","1374.3958949248"
"2023-05-01","454.0798558645","9003.1","229.5503406132","182.6275595691","3798.8132613347","66.9627126968","111.6","40.6191490788","0","0.0217093026","14.587422","124.16198666","22.63248","23.0553489397","25.3860424816","","6.51279744","17.0463424859","9.5028217446","11.16","0.0001403297","2.6027457372","","0.186","0.0082499071","6.4800000024","1.0643467416","2.88","1.44","0.48","","","","0.68971082","0.0294267001","","0.1799999976","","0.0297075772","0.034687294","0.16986915","0.06116715","","0.0000330929","","","0.0001442794","","0.0001097232","","","0.0000020091","","0.0000005366","","","","-265.92","13891.8361712596"
"2023-05-02","449.6633858823","","305.9884381428","185.5378129314","","71.2006589486","111.6","40.5994388907","0","0.0153802577","14.1346794","111.7793095877","22.63248","23.0627085383","46.1514845495","","0.00555954","17.0463659292","9.7954691728","11.16","0.000048716","2.6141131679","","","0.0083768521","6.4800000024","1.0645709627","2.88","1.44","0.48","","","","0.71498145","0.029419992","","0.1799999976","","0.0486410014","0.034503083","0.08737815","0.0610509","","0.0170167626","","","0.0001740964","","0.0001099464","","","0.0000019989","","0.000000048","","","","","1436.5135588984"
"2023-05-03","437.1591834109","","395.3680149912","211.6261782766","","69.6629626361","111.6","45.8829647521","0","0.0109469777","15.722394","110.3384244416","22.63248","23.0639863385","12.7677175047","","0.000034968","17.0463817346","9.7892123627","11.16","0.0000434222","2.6094823558","","","0.0068893171","6.4800000024","1.0654440227","2.88","1.44","0.48","","","","0.71759568","0.0294408603","","0.1799999976","","0.0475577562","0.0343980098","0.03515865","0.0589136","","0.015670265","","","0.0001758674","","0.000110616","","","0.0000020024","","0.0000008293","","0","","","1509.9117656489"
"2023-05-04","445.6176568445","","325.6757755428","184.0580335989","","70.8194258022","111.6","48.0893740338","","0.0141990991","16.1144076","114.6256164925","22.63248","23.0652111659","17.0665427195","","0.00003534","17.0464271965","9.9386160857","11.16","0","2.6135613045","","","0.0069706921","6.4800000024","1.0683576429","2.88","1.44","0.48","","","","0.7235886","0.0294512884","","0.1799999976","","0.04911848","0.0332001599","0.0087792","0.061581","","0.016210765","","","0.0001675971","","0.0001108392","","","0.0000019671","","0.0000006478","","","","","1433.5949017054"
"2023-05-05","455.8726969881","","308.6996797164","211.198837244","","79.7422165313","111.6","48.0853008837","","6.9454810286","14.8413492","135.2729616226","22.63248","23.0634384183","32.631703171","","0.00003534","17.0464259895","9.9167827693","11.16","0","2.609315392","","","0.0064368721","6.4800000024","1.071759433","2.88","1.44","0.48","","","","0.71348322","0.0294486844","","0.1799999976","","0.0494606055","0.0336157905","0.0172143","0.06152055","","0.0170892921","","0","0.0001448563","","0.0001103928","","","0.0000019824","","0.0000006532","","","","","1504.7789909271"
"2023-05-06","449.0920109688","","229.8489472824","211.2597188677","","68.7737448282","111.6","48.100785963","0","22.2477044134","14.4532602","129.8550305486","22.63248","23.0609819542","19.2664499268","","0.00003534","17.0464253452","10.159436969","11.16","0","2.6148317794","","","0.0063522421","6.4800000024","1.0729526426","2.88","1.44","0.46","","","","0.71337441","0.0294464403","","0.1799999976","","0.0552828815","0.0335351258","0.00358515","0.0614601","","0.0238190468","","0","0.0001453492","","0.0001092768","","","0.0000019977","","0.0000003596","","","","","1404.6119094091"
"2023-05-07","460.6289504966","","192.1655848044","169.7340841576","","68.3161099393","111.6","48.1216940629","","21.1709055681","15.1562658","156.217233114","22.63248","23.0613158691","29.505261609","","0.00003534","17.0464219271","9.6783309192","11.16","0","2.6069576854","","","0.0054241809","6.4800000024","1.0775209752","2.88","1.44","0.48","","","","0.71774355","0.0294665484","","0.1799999976","","0.0561888889","0.0340139896","","0.06192975","","0.0243303309","","0","0.0000583384","","0.0001090536","","","0.0000019883","","0.0000011714","","","","","1372.2684200583"
"2023-05-08","461.9536381716","","220.5541092288","183.262398375","","71.3972338712","111.6","48.1296435203","0","25.6200418657","14.8329978","157.6979267162","22.63248","23.0642028438","22.734121148","","0.00003534","17.0464242516","10.0251061563","11.16","0","2.6213562608","","","0.0071883909","6.4800000024","1.0829398495","2.88","1.44","0.48","","","","0.7183992","0.0294523842","","0.1799999976","","0.0550079711","0.0343286694","0.06529995","0.0614322","","0.0207077155","","0","0.0000847976","","0.0001042368","","","0.0000019824","","0.0000004882","","","","","1417.8666633849"
"2023-05-09","440.3208576174","","315.8656470696","218.840780114","","76.2780250453","111.6","48.1379643656","","24.7792002312","40.9699038","157.1150830824","22.63248","23.0630081289","17.6277080807","","0.004285812","17.0464300476","9.927421967","11.16","0","2.6235295273","","","0.0062639709","6.4800000024","1.0920191375","2.88","1.44","0.48","","","","0.71998113","0.0294460602","","0.1799999976","","0.0544257996","0.0359267336","3.11241705","0.0614787","","0.0155130467","","0","0.0023170228","","0.000105576","","","0.0000019681","","0.0000007324","","","","","1554.5822218168"
"2023-05-10","440.7054334303","","458.8861146024","191.747692695","","74.5790460544","111.6","48.1349100517","","25.8581337878","14.796021","157.5837458804","22.63248","23.0641988251","29.0454977259","","0.00003534","17.0464350062","9.9995205719","11.16","0","2.6265047747","","","0.0055348509","6.4800000024","1.0997841974","2.88","1.44","0.48","","","","0.71558688","0.0294255814","","0.1799999976","","0.0535422166","0.0358521345","0.16474485","0.05868575","","0.0144543723","","0","0.0092800763","","0.0001040136","","","0.000001992","","0.0000000655","","","","","1653.1127667263"
"2023-05-11","435.30647573","","571.4782590624","185.6897788026","","73.7786158207","111.6","48.1353245161","","23.2096670897","14.704323","150.2887561512","22.63248","23.0631525316","23.8082194873","","0.00003534","17.0464378811","9.7532539268","11.16","0.0000238279","2.6290082408","","","0.0070386609","6.4800000024","1.1016811848","2.88","1.44","0.48","","","","0.71924736","0.0294944767","","0.1799999976","","0.0546165669","0.035752202","0.49557375","0.0618693","","0.0147853419","","0","0.0222769422","","0.0001037904","","","0.0000019186","0.0000002941","0.0000001485","","","","","1738.2862533452"
"2023-05-12","428.828841034","","387.672047148","180.322039958","","72.070728372","111.6","48.1370610682","","21.4309155595","14.9068212","150.3222820399","22.63248","23.0636742298","17.1014393495","","0.00003534","17.0464596418","9.6504794536","11.16","0.0000431553","2.6338738978","","","0.0053428059","6.4800000024","1.1023046016","2.88","1.44","0.48","","","","0.71614488","0.0294345188","","0.1799999976","","0.0551985016","0.0356801546","0.2906064","0.0612927","","0.0151880339","","0","0.0108302082","","0.0001035672","","","0.0000020097","0.000000588","0.0000006819","","","","","1532.3613510988"
"2023-05-13","425.2891084925","","248.1590057952","179.6920787411","","70.4037440022","111.6","48.1360920743","","20.5333260689","14.5214106","152.7864767417","22.63248","23.060842324","18.4791644438","","0.00003534","17.046493406","9.607415091","11.16","0","2.6241987199","","","0.0044411709","6.4800000024","1.1023046016","2.88","1.44","0.48","","","","0.71846337","0.0294341468","","0.1799999976","","0.053369216","0.0352551038","","0.0612927","","0.0151978911","","0","0.0023611113","","0.000105576","","","0.0000020256","0.000000588","0.0000009754","","","","","1389.2141003171"
"2023-05-14","425.8473631885","","260.794561428","178.4751594891","","68.3704122637","111.6","48.1378723438","","18.2140699596","14.6585112","153.6886625104","22.63248","23.0585860802","36.6443985024","","0.00555954","17.0464927939","9.4620589866","11.16","0.0000001911","2.6212743692","","","0.0048317709","6.4800000024","1.1028735272","2.88","1.44","0.48","","","","0.71954589","0.029418132","","0.1799999976","","0.0595190121","0.0351677855","0.0004278","0.0610602","","0.0170614577","","0","0.0023341149","","0.0001082543","","","0.0000020245","","0.0000006983","","","","","1415.9098135139"
"2023-05-15","433.6426206703","","328.2947509236","182.6816395735","","72.796836028","111.6","48.1378184647","","21.9624082423","15.0602712","153.8502638464","22.63248","23.0643139818","21.3265497363","","0.00003534","17.046491576","9.8587445128","11.16","0.0000001911","2.6422448344","","","0.0055023009","6.4800000024","1.103613538","2.88","1.44","0.48","","","","0.71962122","0.029417388","","0.1799999976","","0.0537097813","0.0353257009","0.0326988","0.06106485","","0.0149081292","","","0.0027077314","","0.0001046832","","","0.0000019621","","0.0000008315","","","","","1489.2761460377"
"2023-05-16","420.899668554","","476.647104612","178.4201724748","","74.3539295013","111.6","48.1361911149","","22.8682067408","15.0757464","154.0560114903","22.63248","23.0650688763","25.7620424532","","0.00279744","17.0464906409","9.8414157414","11.16","0.0000001911","2.6437519831","","","0.0054664959","6.4800000024","1.103873008","2.88","1.44","0.48","","","","0.71639319","0.029419992","","0.1799999976","","0.0540710831","0.035391796","0.0682992","0.06112995","","0.0149047048","","","0.0026068698","","0.0001037904","","","0.0000018113","","0.0000005505","","","","","1627.7627406559"
