"Service","Relational Database Service($)","Tax($)","EC2-Other($)","OpenSearch Service($)","EC2-Instances($)","Support (Business)($)","ElastiCache($)","CloudWatch($)","Certificate Manager($)","Elastic File System($)","Elastic Load Balancing($)","Managed Streaming for Apache Kafka($)","VPC($)","Elastic Container Service for Kubernetes($)","CIS  Linux 2 Benchmark - Level 2($)","S3($)","EC2 Container Registry (ECR)($)","CloudTrail($)","Secrets Manager($)","Key Management Service($)","FSx($)","Inspector($)","DynamoDB($)","Cost Explorer($)","Lambda($)","SQS($)","SNS($)","CloudFront($)","Service Catalog($)","Athena($)","Glue($)","Fault Injection Simulator($)","Direct Connect($)","CloudWatch Events($)","SES($)","Simple Workflow Service($)","Glacier($)","Step Functions($)","Systems Manager($)","CloudShell($)","CodeArtifact($)","Migration Hub Refactor Spaces($)","X-Ray($)","Location Service($)","Refund($)","Total costs($)"
"2023-04-20","547.8675809584","","312.4197836717","364.3172824622","291.1520426514","","105.729840048","122.2120486399","","17.7864528247","26.3134632745","42.4661898009","26.951044327","24.552","20.02","9.2705867581","0.3221217331","0","1.5254867508","0.79614543","","","0.079280832","","","0.000008928","0.0081751318","0.0178484671","","","0.00197346","","","","","","0.0000019567","0.0000009146","","0","","","","","","1913.8093590209"
"2023-04-21","646.9848437924","","309.3848758645","364.3605636712","260.6625010734","","105.729840048","127.0301989754","","17.8787277384","26.3293417649","42.4663172839","19.1975827826","24.552","20.56","9.3436559485","0.3247959024","0","1.5448307508","0.79569345","","","0.0792808335","","","0.000014136","0.0041968553","0.0230465959","","","0.00194742","0.1209","","","","","0.0000019021","0.000000864","","","","","","","","1977.3751576532"
"2023-04-22","637.8666535164","","304.30796708","364.3744757038","181.8052349058","","105.7298400449","130.1196441969","","17.9722808595","26.3142750063","42.4654852088","17.0246917424","24.552","19.14","9.4027540742","0.3261592097","0","1.5068402508","0.79537539","","","0.0792808327","","","0.000006696","0.0037294872","0.0033481286","","","0.00192975","","","","","","0.0000018976","0.0000008204","","","","","","","","1883.791974802"
"2023-04-23","595.8362091846","","309.5839808409","364.3492322454","132.2438865086","","105.72984004","121.2306074916","","18.083265464","26.4931855815","42.4659987719","16.9447862926","24.552","21.24","9.4760311959","0.3272403462","0","1.5574973508","0.79566834","","","0.079280832","","","0.000013392","0.0038323087","0.011250365","","","0.00206181","","","","","","0.0000017881","0.0000009223","","","","","","","","1791.0058710721"
"2023-04-24","539.8957034732","","314.9840119962","364.3442789744","276.081769766","","105.7298400507","116.0233844137","","18.2271808986","26.3285413489","42.466182121","17.0464418015","24.552","22.94","9.5423761098","0.3275210412","0","1.6204444008","0.79382415","","","0.0792808326","","","0.000000372","0.0015486672","0.0181901271","","","0.00181815","","","","","","0.0000018976","0.0000008029","","","","","","","","1881.0043413954"
"2023-04-25","556.7145833293","","315.03547775","364.3420736416","284.252928105","","105.7298400557","122.2995651296","","18.3141092421","26.3123839696","42.4663144632","17.092688902","24.552","23.6","9.2214430154","0.3276721584","0","1.6754270328","0.7943124","","","0.0792808344","","","0.000007068","0.0021087554","0.012618509","","","0.00178188","","","","","","0.0000018516","0.0000007848","","","","","","","","1912.8266188779"
"2023-04-26","555.1306983209","","315.5034100753","364.3712237279","286.6678000754","","105.7298400536","126.9599275177","","18.3991697967","26.3135712766","42.46617052","17.073609651","24.552","23.96","9.2782679243","0.3276721584","0","1.6774936992","0.79394133","","","0.079280835","","","0.000013764","0.0017999036","0.031895069","","","0.00175398","","","","","","0.00000194","0.0000008012","","","","","","","","1919.3195424198"
"2023-04-27","554.1627136456","","318.0981942207","364.3791015084","266.2215779392","","105.7298400447","134.8693947468","","18.4888690668","26.3226664958","42.9034299414","21.8453343671","24.552","24.1","9.3416010717","0.3285223386","0","1.6522069992","0.78787587","","","0.0792808343","","","0.000020088","0.0017602459","0.0343835221","","","0.00155403","","","","","","0.0000018964","0.0000005484","","","","","","","","1913.9003294211"
"2023-04-28","553.3229167105","","316.8506000762","364.3896125213","264.0774132953","","105.72984004","133.6313792997","","18.5813984589","26.3201563051","42.4713923521","24.8840522075","24.552","24.14","9.4118003032","0.3295584842","0","1.6231315829","0.78979818","","","0.0792808343","","","0.00003348","0.0018200241","0.0284086808","","","0.00108438","","","","","","0.0000018988","0.0000007137","","","","","","","","1911.2156798286"
"2023-04-29","541.4140086934","","311.0503446079","364.39920297","215.4295467155","","105.7298400397","117.8013532751","","18.6855563243","26.3273973881","42.4704996812","17.005810531","24.552","21.9","9.4864945813","0.3298149816","0","1.6523769829","0.79096998","","","0.0792808313","","","0.000013392","0.0011928897","0.0078152973","","","0.00096906","","","","","","0.0000019045","0.0000003417","","","","","","","","1819.1144904685"
"2023-04-30","541.6315249907","","308.7706257992","364.4067243395","143.3626050364","","105.7298400402","112.0414397806","","18.7950724471","26.4889576049","42.4710389506","16.9775661681","24.552","21.66","9.564204593","0.3298149816","0","1.7294899992","0.79685409","","","0.079280831","","","0.000006696","0.0000611399","0.0029119926","","","0.00146475","","","","","","0.0000019543","0.0000006637","","","","","","","","1739.3914868486"
"2023-05-01","548.9406589698","10430.08","304.3898177638","363.3089725101","231.1865417478","4356.4880326286","105.7298400396","105.2459581779","1488","18.2809283629","26.3018086975","42.1975665059","17.0103064762","24.552","23.96","10.1006781705","0.319175808","0","1.7313715524","0.75778968","","","0.0000012575","","","0.000006696","0.0022161245","0","","","0.00108996","","","","","","0.0000020036","0.0000011022","","","","","","","-304.95","17793.6347642348"
"2023-05-02","549.3683957081","","287.9120531513","363.2705455787","291.9407306519","","110.919240038","123.4995843761","","18.3662769827","26.3205635602","42.2000590876","17.2068100466","24.552","23.96","10.1605227812","0.3193040437","0","1.7194815024","0.76350918","","","0.07928064","","","0.000000372","0.001734863","0.0001164367","","","0.00010044","","","","","","0.0000020036","0.000000048","","","","","","","","1892.5603114918"
"2023-05-03","549.9993196288","","277.5262577862","363.2908521682","272.6154451231","","137.7311400288","131.5794380278","","18.4663385797","26.3375712937","42.2019383989","17.2288297802","24.552","23.94","10.2663672702","0.3195893012","0","1.6671506023","0.76644426","","","0.07928064","","","0.000020088","0.0017568785","0.0001534309","","","0.00095976","","","","","","0.0000020024","0.0000003427","","","","","","","","1898.5708553916"
"2023-05-04","549.3800349377","","276.883278028","363.2845042165","300.4844465942","","152.6474100233","139.7106954764","","18.5672844048","26.3256679296","42.1980857304","17.1247658711","24.552","24","9.9203082363","0.319744584","0","1.7061220524","0.77233116","","","0.07928064","","","0.00002046","0.003896357","0.0000136996","","","0.00171585","","","","","","0.0000019624","0.0000006325","","","","","","","","1947.9616088462"
"2023-05-05","549.7009921131","","275.400937813","363.2894564435","264.9306010587","","161.0834400205","123.7641413947","","18.6456449937","26.3219274153","42.1973009307","17.1032656976","24.552","23.52","9.9792263052","0.3253939621","0","1.7003235024","0.76197189","","","0.07928064","","","0.000020088","0.0020989043","0","0","","0.00129456","","","","","","0.0000019824","0.0000007987","","","","","","","","1903.3593205139"
"2023-05-06","538.2130507782","","267.6549740544","363.3014895792","200.5394977894","","161.0834400193","123.7223303686","","18.7331026751","26.3343961191","42.1937996737","20.179349641","24.552","21.36","10.0317621419","0.3270784848","0","1.6332472524","0.7711203","","","0.07928064","","","0.000020088","0.0017404644","0.0011600384","0","","0.0005301","","","","","","0.0000020024","0.0000000813","","","","","","","","1820.7133722916"
"2023-05-07","538.3131453601","","267.5510137741","363.3069427691","144.4760910899","","161.0834400182","127.8637817516","","18.8359346382","26.5032083","42.1908845472","20.0406878637","24.552","21.18","10.1032343817","0.3270784848","0","1.6215199524","0.77256552","","","0.07928064","","","0.00003348","0.0004194582","0.0009861241","0","","0.0024552","","","","","","0.0000019905","0.0000011887","","","","","","","","1768.8047065325"
"2023-05-08","558.7097070673","","274.6692480381","363.3098885652","274.702836276","","145.2269400202","134.7227803671","","18.9356071808","26.3507284174","42.1952130543","17.2898416451","24.552","23.48","10.1761509055","0.327184553","0","1.6933206024","0.77430369","","","0.07928064","","","0.000020832","0.0108240274","0.0048879623","0","","0.00149265","","","","","","0.0000019755","0.0000006654","","","","","","","","1917.212259135"
"2023-05-09","522.7011900562","","257.0746950216","363.317467716","320.6164995802","","112.6490400167","136.4679927302","","19.034299631","26.3428327836","42.1943460734","18.7531618197","24.552","23.48","10.2412730806","0.3285228531","0","1.6932648024","0.76771092","","","0.07928064","","","0.000020088","0.0021699761","0.0064422682","0","","0.00089094","","","","","","0.0000019753","0.000000454","","","","","","","","1880.3031034263"
"2023-05-10","516.1374997005","","250.5341982028","358.3690463257","338.1083186144","","112.6490400185","140.1562279628","","19.1269004186","26.355449405","42.1979601946","17.1716450825","24.552","23.48","10.3072489344","0.3311448726","0","1.6950132024","0.76592532","","","0.07928064","","","0.000020088","0.001833135","0.0140776023","0","","0.00057846","","","","","","0.0000019895","0.0000002438","","","","","","","","1882.0334104134"
"2023-05-11","516.4776817697","","248.8163469477","350.1452360933","338.2705068474","","112.7215800279","117.7457791898","0.6975","19.2161841357","26.3487913985","42.1973742191","17.6702072708","24.552","23.88","10.368479465","0.3316448976","0","1.6989052524","0.76795365","","","0.07928064","","","0.000067332","0.0022156632","0.0166462436","0","","0.00183489","","","","","0.000000588","0.0000019755","0.0000010038","","","","","","","","1852.006219501"
"2023-05-12","517.1725187988","","248.2170669869","350.1513753472","339.363372193","","112.1133600299","121.4918242325","0.6975","19.3043031293","26.3319980662","42.1972210883","20.493379158","24.552","23.96","10.4388198107","0.331976575","0","1.6977799524","0.77038095","","","0.07928064","","","0.000013392","0.0021674952","0.0088457324","0","","0.0026319","","","","","","0.0000020674","0.0000014633","","","","","","","","1859.3778190085"
"2023-05-13","504.1919728231","","242.2440562396","350.1637003324","296.8119188552","","112.1133600314","124.3228508596","","19.3993311009","26.3505540217","42.1963481429","26.0231627765","24.552","21.66","10.4973392466","0.3321638304","0","1.6325172024","0.77483658","","","0.07928064","","","0.000013392","0.0002705715","0.0009627232","0","","0.00204786","","","","","0.000000588","0.0000020528","0.0000008619","","","","","","","","1803.3486907321"
"2023-05-14","504.5034008743","","242.4550188937","350.1697106711","284.3432317897","","112.1133600355","129.1761174603","","19.5003348183","26.5238776401","42.1962135124","27.407786474","24.552","21.64","10.5652670528","0.3321638304","0","1.6319359524","0.76350639","","","0.0792808331","","","0.000006696","0.0004699141","0.0016892668","0","","0.0007068","","","","","","0.0000020688","0.0000003413","","","","","","","","1797.9560813151"
"2023-05-15","516.4006413797","","248.1820058856","350.1732448698","251.2715193324","","110.305440036","136.0966044967","","19.5942710131","26.3150335685","42.1954555419","17.0278226813","24.552","23.96","10.6321501135","0.3321638304","0","1.6885869024","0.7624713","","","0.0792808332","","","","0.0017602458","0.0052221791","","","0.00099789","","","","","","0.0000019989","0.0000004731","","","","","","","","1779.5766745714"
"2023-05-16","520.247614442","","249.5857043621","343.0442345233","220.8321617528","","70.3424106253","140.0910870631","","19.6862063825","26.3622155414","35.6582327418","17.7327236676","24.552","24.06","10.7014958844","0.3324900775","0","1.6918326024","0.7624434","","","0.0792808315","","","0.000000372","0.0017112382","0.0045117733","","","0.00114111","","","","","","0.0000019612","0.0000006524","","","","","","","","1705.7695010048"
"2023-05-17","516.1187344129","","247.7715895292","341.198436453","250.1217038347","","60.7773607561","116.5085308773","","19.7787614772","26.355568352","34.5343662704","18.4223171395","24.552","23.96","10.7696694386","0.3326503104","0","1.6955898024","0.76581651","","","0.0792808332","","","0.000001116","0.0028680279","0.0039675405","","","0.00124341","","","","","","0.0000017704","0.0000006478","","","","","","","","1693.7504585095"
"2023-05-18","515.844513977","","244.722082126","325.3019049116","236.5734384046","","60.7773607284","110.834190827","0.6975","19.8734775652","26.3554301602","34.5327378948","17.0438065375","24.552","21.92","10.8442287628","0.3326503104","0","1.6832115024","0.76777788","","","0.0792808332","","","0.000013764","0.0017695707","0.011603361","0","","0.00284859","","","","","0.0000002941","0.0000018455","0.0000012314","","","","","","","","1652.7518310778"
"2023-05-19","525.1840481337","","244.1787698242","313.9369237097","237.4386980202","","60.7773607043","110.0341501025","","19.9734981169","26.3573562949","34.5340837863","17.8115447034","24.552","21.08","10.9130938026","0.332803752","0","1.6794636024","0.76937097","","","0.0792808322","","","","0.0020565915","0.0088598017","0","","0.00214458","","","","","0.0000002941","0.0000019494","0.0000009922","","","","","","","","1649.6455105642"
"2023-05-20","503.7018027573","","237.7754821943","313.9415996809","138.9513852978","","60.7773606809","112.6192735917","","20.0814467899","26.3684156172","34.5295948567","19.07798305","24.552","18.78","10.977724725","0.3330807936","0","1.6148053524","0.77484774","","","0.0792808329","","","0.000006696","0.0001945562","0.0026046493","0","","0.00182187","","","","","0.0000002941","0.0000019057","0.0000007009","","","","","","","","1524.9407146328"
"2023-05-21","514.1147816806","","216.713601782","313.9446272971","94.8191428121","","60.7773609606","116.0731389384","","20.1789345262","26.5157477571","34.5319027679","16.9748478715","24.552","20.24","11.0437573725","0.3343856895","0","1.6484155524","0.76951884","","","0.0792808315","","","0.000006696","0.0017453161","0.0009555787","0","","0.0014973","","","","","0.0000002941","0.0000019608","0.0000005705","","","","","","","","1473.3156523956"
"2023-05-22","516.6497634922","","209.0981112804","313.9444385856","216.1800189567","","60.7773610353","118.5101178334","","20.2500550916","26.3513544435","34.5317265203","17.0069660113","24.552","20.24","11.1214940979","0.3363869763","0","1.6363906524","0.76634661","","","0.0792808308","","","","0.0026538495","0.0076082631","","","0.00164145","","","","","0.0000002941","0.0000019217","0.0000008148","","","","","","","","1592.0437190109"
"2023-05-23","516.5431030568","","212.1613115348","313.9439906557","224.060378376","","60.7773610202","90.3644683688","","20.3353088427","26.3672240041","34.530292225","17.8677899704","24.552","19.24","11.2695562704","0.3392557435","0","1.6062307524","0.76504926","","","0.0792808314","","","0.000013392","0.0054736723","0.0085076922","0.077469","","0.00148521","","","","","0.0000002941","0.0000019306","0.0000006846","","","","","","","","1574.895552788"
"2023-05-24","518.7302969633","","198.9553086049","313.954898381","223.7371360501","","60.7773610321","94.7609858368","","20.4401284344","26.3742480698","34.5368488629","16.9788763928","24.552","19.66","11.4427578314","0.3398743704","0","1.6450675524","0.76793133","","","0.0792808321","","","0.00000744","0.0018293825","0.0137044596","0.022134","","0.0017484","","","","","0.0000002941","0.0000019182","0.0000007974","","","","","","","","1567.7724272362"
"2023-05-25","512.7893944007","","197.3615932483","313.9733260434","224.6541666905","","60.77736114","99.183284023","","20.5299941896","26.3635752814","34.5334970181","17.1505455217","24.552","19.3","11.0368292808","0.3398743704","0","1.6309408524","0.77487843","","","0.0792808332","","","0.000007068","0.0017499743","0.0093061136","0.022134","","0.00199206","","","","","","0.0000019255","0.0000008777","","0","","","","","","1565.0657333426"
"2023-05-26","511.880040848","","198.3172435184","313.9928872902","225.8286984883","","60.7773611775","104.5861688783","","20.6227624468","26.3797971213","34.5346729967","18.0090946404","24.552","19.36","11.1168023839","0.3399759656","0","1.6446444024","0.76734543","","","0.0792808323","","","0.000227664","0.002310188","0.0050069091","0.022134","","0.00125829","","","","","0.000000588","0.0000019384","0.0000005527","","","","","","","","1572.8197165503"
"2023-05-27","502.9903943431","","186.170901707","314.0132742583","199.024670834","","60.777361177","103.4418970188","","20.7177911172","26.3827606888","34.5340888669","17.0128645783","24.552","15.04","11.1631522423","0.3400553688","0","1.5352113024","0.76571607","","","0.0792808332","","","0.0001209","0.000839001","0.0008954684","0.022134","","0.00054405","","","","","0.000000588","0.0000019029","0.0000001792","","","","","","","","1518.5659564956"
"2023-05-28","503.0054233787","","185.1506707269","314.0184362199","180.1981815051","","60.7773607211","106.1977599774","","20.819346165","26.5530849825","34.5273823607","16.9140842509","24.552","14.4","11.2302587555","0.3400553688","0","1.5048933024","0.76841121","","","0.0792808324","","","0.000241056","0.0003872574","0.0004724764","0.022134","","0.00140151","","","","","0.000001176","0.0000020392","0.0000006475","","","","","","","","1501.0612699198"
"2023-05-29","512.8380541351","","198.4735083095","314.0206273824","227.5233648431","","60.7773605845","81.9850346959","","20.9221158958","26.3778712865","34.5308558787","16.9892778232","24.552","19.58","11.3004064061","0.3401104233","0","1.6544094024","0.76443546","","","0.0792808324","","","0.00023436","0.0023016532","0.0061560769","0.022134","","0.00128433","","","","","0.000000588","0.0000019562","0.0000005541","","","","","","","","1552.7408268773"
"2023-05-30","512.8112817864","","196.7655308391","314.0319342656","228.3913259254","","60.777360701","71.8446511308","","21.0038288986","26.3794341981","34.5313530341","16.9826586842","24.552","19.38","11.4032965684","0.3401872872","0","1.6515496524","0.76820196","","","0.0792808333","","","0.00020088","0.0022284504","0.0072598142","0.022134","","0.00156984","","","","","0.000001176","0.0000019955","0.0000011395","","","","","","","","1541.7272730602"
"2023-05-31","515.4082759404","","199.3747567745","314.0448039646","229.1815542542","","60.777360741","77.6427039846","","21.084541283","26.3685271004","34.5340277926","17.0908236554","24.552","19.98","11.4551997056","0.3406134666","0","1.6373997024","0.7691394","","","0.0792808323","","","0.0001209","0.0024328214","0.0058629018","0.022134","","0.00210552","","","","","0.000000882","0.0000019897","0.000000858","","0","","","","","","1554.3536684705"
"2023-06-01","524.1656874817","7781.51","203.5421649072","314.8169859104","228.9049131713","3321.4129555493","60.7773608503","72.0777235615","1488","21.8811942757","26.3793849782","34.6229205895","18.5404117265","24.552","19.26","12.9139781612","0.3523133549","0","1.6691701992","0.79533912","","","0.0660684575","","","0.000033852","0.0022178723","0","","","0.00217341","","","","","0.0000006022","0.0000019991","0.0000010613","","","","","","","-232.5","13923.7450010913"
