date-time,date-time,EC2-Instances($),S3($),Relational Database Service($),EC2-Other($),Glue($),DocumentDB (with MongoDB compatibility)($),Elastic MapReduce($),CloudWatch($),VPC($),OpenSearch Service($),Redshift($),Managed Streaming for Apache Kafka($),SageMaker($),ElastiCache($),DMS($),Elastic Load Balancing($),QuickSight($),Elastic File System($),SNS($),Lambda($),Elastic Container Service for Kubernetes($),Rekognition($),Hardened Red Hat Enterprise 7 (RHEL 7)($),Step Functions($),Glacier($),DynamoDB($),Backup($),AppFlow($),Route 53($),SQS($),EC2 Container Registry (ECR)($),Key Management Service($),API Gateway($),CloudFront($),Athena($),Secrets Manager($),CloudWatch Events($),Cognito($),X-Ray($),Cost Explorer($),Service Catalog($),Systems Manager($),SES($),Simple Workflow Service($),Direct Connect($),CloudTrail($),CodeArtifact($),Elastic Container Service($),Migration Hub Refactor Spaces($),Location Service($)
2023-10-25,2023-10-25,287.721714421,842.8850751432,441.6806484166,458.9475925403,159.9463539819,203.2138723511,116.9222346358,206.8355723755,65.087724015,51.5344988967,53.2364656849,36.2758692415,0.0436254246,61.8040800144,37.6315264439,42.1708757383,40.2896394145,28.9053733217,16.3122867817,1.0848e-06,20.088,15.6135375,17.76,7.112e-07,15.0740018059,17.4612589588,7.56194369,5.1440033545,5.66064588,3.3800740347,1.7521014096,1.67174733,1.2626461324,0.6839328253,0.63200475,0.67513635,0.03661875,0.0,0.0,0.1116,0.001302,0.005301,0.0,9.369e-07,0.0,59.854514025,0.0,0.0,0.0,0.0
2023-10-26,2023-10-26,288.2636687976,967.7973345151,442.8138222285,473.4671393301,173.3237799613,260.1574419075,116.1528047566,290.556149426,67.9219583364,51.5345259835,53.4433753225,36.3111826778,0.0768,61.8040800144,37.6315255038,48.1456080878,42.299639412,28.93971853,32.3747585632,1.9895e-06,20.088,36.360675,17.76,1.6593e-06,15.0740018065,21.7345495961,7.5657012381,3.7601060303,5.661550584,6.3170190957,1.7521014096,1.97804469,1.2676530944,0.8753628886,0.1485489,0.66445065,0.03812907,0.0,0.0,0.1023,0.001302,0.00537354,0.0,7.205e-07,0.0,82.80168231,0.0,0.0,0.0,0.0
2023-10-27,2023-10-27,284.600554423,1006.6490064332,444.834296951,476.7234917861,160.2160598231,290.0575366414,116.1555990537,342.2592112591,74.1034845829,51.534552787,53.5820589516,36.3915528044,0.0293046075,62.1063300143,37.6315254868,51.2671677161,44.624639412,30.3615521202,16.6415499747,1.1159e-06,20.088,36.211875,17.76,1.405e-06,15.0740018065,22.5466515347,7.5978820835,5.3676885886,5.664582012,3.4625144422,1.7521014096,2.30761344,1.2282711684,0.6845185665,0.1684974,0.67992585,0.0387531,0.0,9.3e-06,0.1395,0.002604,0.00297414,0.0,7.143e-07,0.0,91.045924455,0.0,0.0,0.0,0.0
2023-10-28,2023-10-28,282.1239961352,928.7046924207,446.8123773867,472.0547572756,136.2306787552,209.0974207318,116.1498460947,339.4972905504,68.8821946861,51.5345141493,53.4410398187,36.3948237738,0.0,61.8040800144,37.6315263093,55.8050208782,35.603639412,31.061742737,8.3927096636,1.1046e-06,20.088,32.01525,17.76,7.171e-07,15.0740018069,23.0882857938,7.6004268634,6.5327550962,5.661271584,1.8305684802,1.7521014096,4.59638436,1.1708969237,0.8560990594,0.1257453,0.68646375,0.03668571,0.0,0.0,0.1767,0.003906,0.0,0.0,9.524e-07,0.0,76.46512173,0.0,0.0,0.0,0.0
2023-10-29,2023-10-29,285.4964995287,958.2496933987,447.9707715796,467.6165882582,135.3597768551,202.6224087771,116.1477092834,344.7606611495,70.7267011341,51.5345230153,53.4682875395,36.1563639594,0.0,61.8040800144,37.6315263203,54.9687246531,35.417639412,32.6315005054,16.6181168621,1.0939e-06,20.088,30.3424125,17.76,7.101e-07,15.0740018059,23.1581630624,6.9870562366,3.4590863404,5.664705516,3.3789685411,1.7521014096,5.12513958,1.1129220921,0.7603972598,0.12681015,0.6859569,0.04103997,0.0,0.0,0.1023,0.003906,0.00305226,0.0,7.267e-07,0.0,84.16366452,0.0,0.0,0.0,0.0
2023-10-30,2023-10-30,291.6613560048,1123.8221639068,448.4834226726,480.5400799687,168.5393135541,271.1219327184,116.1530513121,463.5246430019,86.4050591759,51.5344506672,53.1762654112,36.5701488452,0.0022304023,61.8040800144,37.6315269077,51.4147991335,37.928639412,34.8508306155,16.555451306,0.0116642331,20.088,34.3972125,17.76,7.364e-07,15.0740018059,23.5722556265,7.0244397108,6.7643091763,5.665227432,3.4493747191,1.7521014096,4.60401501,1.2681028614,0.5459284018,0.3312846,0.68947695,0.04280046,0.0,2.79e-05,0.2046,0.067704,0.00450306,0.0,9.648e-07,0.0,115.393126365,0.0,0.0,0.0,0.0
2023-10-31,2023-10-31,283.2764032786,886.733929483,448.3499519948,479.6223669349,133.8558289341,206.3333541231,116.1514897957,194.2041235343,78.9267398601,51.5343909023,52.1266879775,37.2560427589,0.0004563842,61.8040800144,37.6315254811,45.314437953,37.928639412,34.8049254873,16.6825215787,0.0225813184,20.088,34.5774,17.76,1.0532e-06,15.0740018063,17.3148986204,7.0300079868,5.2602922911,5.6593755477,3.491852789,1.7521014096,2.37819104,1.3072598388,0.7777099532,0.15514725,0.6873054,0.043524,0.0,0.0,0.2232,0.003906,0.00748278,0.0,9.524e-07,0.0,72.31568958,0.0,0.0,0.0,0.0
2023-11-01,2023-11-01,290.1366021229,1014.6698857406,454.4275535683,495.7476763193,175.6559968041,196.4154997477,116.160776717,356.012913827,82.4505050412,51.8146554623,3508.7668571303,38.2197419534,0.0112462939,61.8040800124,37.6315270585,58.4349753934,45.5216402352,35.8964020763,20.691698827,1.1731e-06,20.088,35.3481375,17.76,7.084e-07,15.5764685314,4.4544464051,7.266336669,5.2498216572,5.6557966275,3.5197248299,1.8105047736,5.2503810468,1.3437526605,0.0081896743,0.2021262,0.6817700818,0.04569555,0.0,0.0,0.1488,0.0,0.00123318,0.0,7.36e-07,0.0,80.51283234,0.0,0.0,0.0,0.0
2023-11-02,2023-11-02,282.8644585137,1163.4651771593,456.3986177059,499.6375708159,191.158245138,288.5633845572,116.1530513124,568.4426384817,78.6229333154,51.8144971923,55.2289002779,37.8900439069,0.012701699,61.804080012,37.6315270938,51.1670255304,44.5916402352,36.6621905727,9.4623052884,1.1736e-06,20.088,33.4695375,17.76,7.082e-07,15.5764685316,20.2585253365,6.931461342,3.7172196751,5.66089884,1.7788385554,13.1814657647,4.3211548068,1.3013606427,0.0463634237,0.1448382,0.7135176984,0.04468557,0.0,0.0,0.1395,0.0,0.00130572,0.0,7.267e-07,0.0,118.20342594,0.0,0.0,0.0,0.0
2023-11-03,2023-11-03,279.365542375,1185.3265818895,458.8253170982,493.54842777,190.484627166,345.0740705438,112.6264972988,477.1765181278,77.6474269388,51.8144547895,54.3072081024,37.3744772755,0.0,61.804080012,37.6315275268,51.8736409192,44.1266402352,37.1002271564,30.3877344218,0.0227629043,20.088,37.32555,17.76,9.4e-07,15.5764685322,21.8959696103,6.9479625339,5.4171801957,5.661003,4.8370971586,3.8540633628,3.5897367768,1.2795876572,0.0800831257,0.1451451,0.6995165484,0.04566393,0.0,0.0,0.1116,0.0,0.0,0.0,9.679e-07,0.0,97.855123125,0.0,0.0,0.0,0.0
