,Service,Tax($),Savings Plans for  Compute usage($),Relational Database Service($),EC2-Other($),CloudWatch($),S3($),Support (Business)($),VPC($),EC2-Instances($),Tetrate Service Bridge($),Glue($),OpenSearch Service($),Elastic Load Balancing($),ElastiCache($),Redshift($),DocumentDB (with MongoDB compatibility)($),Elastic File System($),Elastic Container Service for Kubernetes($),Elastic MapReduce($),Managed Streaming for Apache Kafka($),CloudTrail($),Certificate Manager($),DynamoDB($),Direct Connect($),SageMaker($),QuickSight($),OCBLateFee($),DMS($),Route 53($),MQ($),Cognito($),CloudFront($),Hardened Red Hat Enterprise 7 (RHEL 7)($),EC2 Container Registry (ECR)($),Config($),SNS($),Rekognition($),Glacier($),CIS  Linux 2 Benchmark - Level 2($),Savings Plans for  Machine Learning($),Systems Manager($),"F5 BIG-IP Virtual Edition - GOOD  (PAYG, 200Mbps)($)",Kinesis($),Lambda($),Backup($),Key Management Service($),Managed Service for Prometheus($),SQS($),API Gateway($),Security Hub($),Secrets Manager($),AppFlow($),X-Ray($),Managed Workflows for Apache Airflow($),Cost Explorer($),Directory Service($),CIS Ubuntu Linux 20.04 LTS Benchmark - Level 1($),Kinesis Firehose($),SES($),Step Functions($),WAF($),DynamoDB Accelerator (DAX)($),Athena($),Inspector($),Antivirus for  S3 - PAYG with 30 DAY FREE TRIAL($),Transfer Family($),FSx($),WorkSpaces($),Budgets($),Service Catalog($),CloudWatch Events($),Pinpoint($),RHEL 8 with Support by Supported Images($),Elastic Container Service($),CIS Ubuntu Linux 22.04 LTS Benchmark - Level 1($),CIS  Linux 2 Benchmark - Level 1 (ARM)($),Elastic Disaster Recovery($),Textract($),Red Hat Enterprise Linux (RHEL) 8.4 with support by ProComputers($),Amplify($),Fault Injection Simulator($),AppSync($),Simple Workflow Service($),CloudShell($),CodeArtifact($),IoT($),CodeCommit($),Migration Hub Refactor Spaces($),Location Service($),CodeBuild($),DevOps Guru($),Data Transfer($),Refund($),Total costs($)
77,2023-06-16,,1703.016,1912.6449902741,1088.6346551892,765.6544090665,1084.6017412773,,763.9151136635,678.1442265039,,667.611095676,548.5404428025,520.3738370322,383.6262957771,178.9150778382,279.5878858678,77.9817040998,138.384,227.7183833033,78.4397806394,62.788135785,,19.4492309349,77.2413126576,45.1113917688,71.1933604464,,58.7536895216,43.395873156,49.2612543101,0.0,33.5415592366,61.92,17.1352340899,12.52431,22.1853985413,22.8024375,17.5506621597,37.42,24,1.851169092,19.92,18.7661268956,16.3486794553,6.1012327336,8.904013524,,4.703868559,4.6783467998,3.8143206,5.288067831,1.9655769419,0.0,,1.63704335,5.7033117756,1.44,1.9352179424,3.0663284332,3.55656e-05,0.9612326964,,0.7326912,2.0925,,,,,,0.0,0.0003663327,0.0620000016,,4.58928e-05,,,,,,,,,1.31924e-05,1.8527e-06,1.021e-06,,0.0,,,,,-232.1064016743,,11651.929279133
78,2023-06-17,,1703.016,1916.5497481067,1056.8112219195,768.2891659687,753.7840031361,,670.7433251523,558.2694335471,,486.5581155048,552.7896116195,448.5673238417,383.3240458586,178.3372788584,272.2133038515,78.3280533175,138.384,227.9755475984,77.4315168984,56.637297135,,18.1893324252,77.7818344515,42.408,69.9843604464,,58.7536882749,43.340323512,49.0777714378,0.0,29.3050060957,61.36,17.0639179078,17.04039,8.7439927196,20.8331625,17.5506622659,35.06,24,2.419709154,19.92,16.4258705113,15.4713910904,6.1678744513,8.985517794,,2.5144503998,4.4016238056,1.7991315,5.2680268476,3.118696527,0.0,,1.61907234,5.5564851899,1.44,1.9781654175,2.974213542,3.56666e-05,0.9611902884,,0.2973303,,,,,,,0.0,0.0003009768,0.0620000016,,7.25e-08,,,,,,,,,9.9908e-06,,3.547e-07,,,,,,,-104.4588340941,,10915.4236964787
79,2023-06-18,,1703.016,1914.4962316621,1019.4962544164,741.8115944316,733.3141519626,,586.9070353327,538.2726057568,,587.945036055,552.7920149677,391.3154809138,383.324046325,177.9854456742,253.2935781742,79.4736508062,138.384,227.5143571255,78.3435745529,50.59090911,,17.2375428499,78.6215801671,42.408,69.2403604464,,58.7536881068,43.284912624,49.0325479198,0.0,26.1078623536,59.36,16.7621889869,2.90811,7.5437743658,19.6125375,17.5506621149,38.7,24,2.36014656,19.92,16.2605712327,15.096110855,6.2578570666,8.973389664,,2.2475896237,3.9623666559,1.8823014,5.4156875976,5.2576538877,0.0,,1.56397325,5.515278009,1.44,1.9608995088,2.4707497697,3.88014e-05,0.9611802444,,0.35300475,,,,,,,0.0,0.0003011256,0.0620000016,,1e-09,,,,,,,,,8.5578e-06,,8.253e-07,,,,,,,-0.0112203008,,10831.3496237889
80,2023-06-19,,1703.016,1892.8212263126,1099.648163541,793.1820561413,802.1034951378,,786.5926030654,616.5446169175,,477.8178597291,561.0505652617,487.0800165149,385.4397965012,179.263073743,285.5515666481,82.6170951155,138.384,209.4244727234,78.4682454544,67.442438895,,19.1215030842,78.1956548048,45.1113984272,71.7513604464,,58.7536902876,43.398485712,49.0353987873,0.0,33.8518280217,61.96,16.8470904529,8.26398,49.6448940237,20.587875,17.5506617988,36.82,24,2.256707496,19.92,25.5640337417,16.0308736172,6.4293908889,8.992621134,,9.5817361187,4.4065036027,3.4992087,5.1449387645,2.6579127935,0.0,,1.50153801,5.4344532512,1.44,2.4874108081,2.9228590091,3.58703e-05,0.9622270524,,0.6800904,1.953,,,,0.8835,,0.0,0.000296364,0.0620000016,,2.49538e-05,,,,,,,,,2.8703e-06,4.6828e-06,1.957e-07,,,,,,,-115.6856485776,,11288.4668342974
81,2023-06-20,,1703.016,1875.8833192855,1114.5170150975,777.1206239174,796.5690200149,,790.9586800699,574.2469329831,,439.5962907387,566.9530255937,503.617436006,383.928546617,178.6495023272,308.4387845442,81.4512628888,138.384,196.9557392555,76.7206964855,72.91645005,0.6975,21.2845620938,76.2393936898,45.1113647007,72.0303604464,,58.7536879596,43.406347188,49.0342527514,0.0,31.6944089511,61.96,17.2574481734,8.5002,44.5023852428,21.86895,17.5506616696,32.44,24,2.04768795,19.92,17.8403182788,17.3921205934,6.6623957173,8.819272363,,8.6271669496,4.5896306635,2.7825228,5.1101531484,2.5306032899,0.0,,1.40341526,5.5472486358,1.44,2.7007055615,3.0048600445,3.11851e-05,0.9612695244,,0.62206305,,,,,,,0.383439,0.0003330534,0.0620000016,,0.0070249147,,,,,,,,,1.1716e-05,4.81528e-05,1.3759e-06,,,,,,,-139.5354700959,,11179.1737018752
82,2023-06-21,,2548.996,1891.1000225018,1040.3982751862,731.9746284136,659.6673219579,,756.6468060894,591.7095002202,,429.6809817486,566.9625186876,458.9457872644,376.3722963938,179.0517107879,242.8658756679,86.7553343911,138.384,196.2745144277,76.3198645799,47.942650875,,15.6290792695,76.7890378155,45.111369537,75.967360449,,58.7536872835,43.3691242254,49.036846069,0.0,31.6062016338,61.96,16.9475772091,10.29882,15.2625725905,18.2524125,17.550660832,32.8,24,2.631009618,19.92,18.4340611926,15.7478449281,6.9271712487,8.8313614254,,3.6279541864,4.3431419974,4.2160155,5.0881441818,3.2232118707,0.0,,1.44017878,5.5476125024,1.44,2.8790654061,3.9948668792,1.59744e-05,0.9619564224,,0.4419546,,,,,,0.0,0.398412,0.00031329,0.0620000016,,0.0009182718,,,,,,,,,1.63304e-05,1.74344e-05,9.047e-07,,,,,,,-94.3900722009,,11629.1500113529
83,2023-06-22,,2595.816,1893.7075647719,1118.444557223,804.221791194,1114.5731155378,,844.3153907875,599.3325716395,,516.8727473517,567.0335057891,525.3992549192,379.6970467368,179.1523141688,303.4561289347,89.5033921434,138.384,194.7434449731,76.101491851,68.21771712,,20.3632268503,76.267286383,45.2403715977,76.2104004552,,58.7536893205,43.4010531748,49.0307542393,0.0,32.0875363026,62.0,17.0693701844,23.16723,8.0681188423,22.0723875,17.5506619058,33.32,24,2.36840217,19.92,22.0990178677,16.1395846923,7.3710441419,8.7750537272,,2.5035867009,4.6441037604,7.6239447,5.2588720319,2.2469215563,0.0,,1.4053509,5.5029949427,1.64,2.7886501015,3.6118678729,2.77403e-05,0.9627789144,,0.2905227,1.953,,,,,0.0,0.398412,0.0003263472,0.0620000016,,0.0096916348,,,,,,,,,1.77884e-05,7.1009e-06,1.3755e-06,,,,,,,-136.9802684545,,12598.1700342117
84,2023-06-23,,2595.816,1891.8941794742,1092.080951464,788.5401345604,1112.7105727426,,855.7563705413,573.8339820732,,528.5822918847,567.0750933147,492.3132085102,379.3947972974,179.3747260396,297.1792989333,87.3012051168,138.384,195.0113991234,76.2113236672,66.853120215,,19.9147068512,76.0112786936,45.3587687543,72.261000456,,58.7536896834,43.4909912891,49.0324209788,0.0,30.7105700657,62.02,17.1712079478,21.61692,32.8385843404,19.9612875,17.5506616211,32.9,24,1.581046128,19.92,19.7364190204,16.3801514176,7.575718908,8.862746634,,6.9009144936,4.4649685012,6.318606,5.2176270492,20.2210040248,0.0,,1.39062838,5.6623304535,2.16,2.6819356323,3.3434028143,2.71995e-05,0.9643932084,,0.5276448,,,,,,0.0,0.409479,0.000320358,0.0620000016,,0.0914033814,,,,,,,,,2.06324e-05,0.0,1.4553e-06,,,,,,,-111.5355871721,,12564.8419454608
85,2023-06-24,,2595.816,1888.9480884892,1028.772114613,755.1774789254,1048.195100511,,641.0517041128,496.4473108111,,420.0231295038,567.0799878248,419.6346158456,376.0700473741,178.6025073364,279.8377143835,86.9352090993,138.384,195.6606863124,76.0206354276,56.18317953,,18.6227661527,76.3595892979,42.6559999992,70.773000456,,58.7536901593,43.377871332,49.0292993374,0.0,27.120488568,61.38,17.2951342821,7.10427,7.7583981412,19.532325,17.5506623443,29.46,24,0.461794662,19.92,13.6597636102,15.2864572407,7.6423257685,8.768648304,,2.651288679,4.034707403,2.1658677,5.1670861992,11.8838190801,0.0,,1.47712489,5.4775625783,2.4,2.719363654,2.4967424557,2.77075e-05,0.9613147224,,0.24239985,,,,,,0.0,0.398412,0.0003203208,0.0620000016,,5.2009e-05,,,,,,,,,1.5768e-05,,1.6506e-06,,,,,,,-0.0116805724,,11927.4784208523
86,2023-06-25,,2595.816,1898.4180140337,1063.3935483863,796.2971482889,1059.0011394507,,651.7065738996,485.2314662723,,411.3675598722,567.0817705964,441.1500519007,381.2082973685,179.2393431018,282.3639140978,87.9631714158,138.384,195.3456714103,76.1126611512,56.866503075,,19.4382710038,77.4254882061,42.6559999992,70.773000456,,58.7536918709,43.33542948,48.9952657498,0.0,25.2267222181,59.36,17.2480745532,10.29045,7.3370984506,18.5221125,17.5506626227,30.74,24,0.446156712,19.92,13.448887685,15.2295063759,7.7057439051,9.142550154,,2.5989061002,3.8817949478,3.1842084,5.2554594492,9.772540178,0.0059985,,1.467044,5.4818879089,2.4,2.8475427508,2.4390002728,2.39972e-05,0.9612109344,,0.2276733,1.953,,,,,0.0,0.44268,0.0003082308,0.0620000016,,5.2047e-05,,,,,,,,,2.00444e-05,,1.5712e-06,,,,,,,-99.4547085646,,11948.0185903333
87,2023-06-26,1644.87,2595.816,10940.9650364117,1116.7086042113,817.9634601698,1069.237998606,,766.2713817274,532.1509195534,,525.6497849436,567.5614325271,540.5779941466,376.5285376799,180.5676829123,262.6201115231,91.9402123265,138.384,194.9716043346,76.3195753281,58.174652235,,17.4152083996,78.9168767406,45.3527262055,72.1404530235,,58.7536888162,43.445668704,49.3049432962,0.0,29.3112168257,61.98,17.2441238358,14.43732,37.2767531453,22.3583625,17.5506623756,31.98,24,0.794483376,19.92,18.7345031366,16.3168768342,7.7797600746,9.181785924,,7.6865876203,4.5162964174,4.055823,5.2610766492,8.5706664711,0.0154845,,1.49695311,5.5505352624,2.48,3.0525718602,3.1091834053,2.78056e-05,0.9638843124,,0.5387862,,,,,,0.0,0.409479,0.0005561567,0.0620000016,,0.0079741933,,,,,,,,,2.03384e-05,1.3156e-06,1.7669e-06,,,,,,,-253.7531624199,,22985.4991488163
88,2023-06-27,,2595.816,1748.6184273381,1103.1690098878,802.6263086711,730.8363579609,,771.9017458541,539.3351735205,,487.9249567788,567.8054381853,515.0357574902,380.9172081165,186.0150210406,252.3553127638,3796.0303881789,139.1442783071,192.2896425535,76.399616764,56.89547304,0.6975,15.2097522037,75.8034343648,45.3574756903,73.0177680179,,58.7536889053,43.420178148,49.0477375232,0.0,32.1178541231,61.98,17.3333307258,21.47649,59.4591525239,22.49205,17.5506625133,33.74,24,0.434249736,19.92,11.4419868402,17.5990891347,13.0741707538,8.6494464846,,11.4780385903,4.5351546521,5.079102,5.1995276988,11.5397002556,0.05028045,,1.48354871,5.4446216458,2.4,2.9705691925,3.2913747687,2.81073e-05,0.9723508464,,1.53308175,,,,,,0.0,0.376278,0.0023533862,0.0620000016,,0.0357963805,,,,,,,,,1.5768e-05,3.5062e-06,1.1004e-06,,,,,,,-225.7824876645,,15496.3634732857
89,2023-06-28,,2595.816,1736.607629992,1092.8184037236,726.9451759056,591.6195017968,,748.2056160344,539.5965611556,,501.478795044,567.8101320061,480.3947167321,373.96545857,181.4105397788,281.9432948168,4145.5445720861,139.3584179625,187.726050218,76.5001332458,35.231069565,60.09867204,11.063325532,77.7916557746,20.0357139903,74.846371708,,58.753689813,43.42849644,49.0310320082,0.0,28.9457492648,62.04,17.3426511104,24.44133,7.8540662177,21.2911875,17.5506617349,33.16,24,0.200567334,19.92,7.5180906195,16.1888250874,19.5565515682,8.6613368448,,2.4635327334,4.4711417524,6.1099512,5.2581440484,8.4107555153,0.0311643,,1.47373039,5.5488171909,2.4,2.9536367074,3.4807659215,2.88174e-05,0.9615836784,,4.9186863,2.232,,,,,0.0,0.289044,0.0011073176,0.0620000016,,0.0037029438,,,,,,,,,1.4918e-05,3.6547e-06,8.253e-07,,,,,,,-148.6508710315,,15609.1109844056
90,2023-06-29,,2595.816,1724.9884862985,1075.772282403,636.0427422177,932.6646312353,,710.8345163577,525.7443838525,,429.7557516282,567.8108119324,469.3621043386,375.1744592992,180.364604799,233.482666331,3929.831235159,138.384,187.4777950482,75.289977413,34.462384575,,11.1869868409,77.1177014422,2.9513778249,71.3477088093,,58.7536885373,43.399987848,49.0285617523,0.0,26.2379445014,61.96,17.3830208296,14.29131,14.3818505644,20.8610625,17.5506626672,29.72,24,0.050252736,19.92,7.4565129135,15.6511954721,38.9395636401,8.8648896648,,3.5455939031,3.9995146832,3.0795741,4.9655510651,16.7027646538,0.01645635,,1.48971213,5.5548625843,2.4,2.9173095911,2.7098512516,2.85013e-05,0.9614279964,,0.3834762,,,,,,0.0,0.33201,0.000301758,0.0620000016,,0.0010625367,,,,,,,,,1.3448e-05,,1.3755e-06,,,,,,,-127.3769452329,,15376.0576783291
91,2023-06-30,0.0,2595.816,1725.647609798,1157.7510626925,580.8597208868,973.0511787927,,804.3354660567,530.646079856,,521.660250195,567.8141859061,546.3349822255,373.6632095491,181.753172209,228.1033061976,1552.7581699208,138.384,186.7613004911,76.2269443766,42.316305255,,11.0942986689,78.0882913719,2.8163926321,71.610000456,,58.7536888016,43.528475904,49.0316486211,0.0,32.7215355698,62.04,17.694379885,15.66027,30.3517047071,22.6559625,17.550663941,32.32,24,0.610637628,19.92,7.4620999498,13.1147709675,39.0355965086,8.9040402153,,6.3561903767,4.8850625939,3.4710297,5.2167024984,19.6715538557,0.01585185,,1.4251512,5.4598072059,2.4,2.8845057048,3.5854742019,2.8828e-05,0.9615462924,,1.6325592,,,,,,0.0,0.411145,0.000301758,0.0620000016,,0.0037308246,,,,,,,,,1.68665e-05,2.1815e-06,8.253e-07,,,,,,,-166.2990345518,,13334.9910291496
92,2023-07-01,60774.96,352.656,1712.9961177296,1784.8213280778,699.5655465351,979.5527746184,20044.3674882393,725.3416899707,375.4385648151,,436.0796233047,565.9520148351,520.4259841288,372.4541982902,4968.3567905654,214.5830585644,71.4854354386,138.384,187.8473840735,77.0723332434,39.012553725,2976.0,1.533502028,78.4593283867,,68.096804016,12225.41,58.6533736912,58.667018136,48.8866751568,0.0,0.3117428053,61.4,16.9127039151,6.74343,35.7468535291,21.359775,16.9845158437,31.92,24,7.573799844,19.92,7.5032059395,5.6207148846,37.7768776572,8.72889003,,5.724804526,5.1770622989,2.67561,5.030135,11.5188879849,0.0,,1.4727813,5.5066294551,2.4,2.9302003463,2.2470239845,2.93367e-05,0.93050442,,0.2773911,2.232,,,,17.67,0.0,0.0,0.000310104,0.06,,0.0001932641,,,,,,,,,1.52136e-05,3.9056e-06,8.253e-07,,,,,,,,-13628.52,97296.8956800833
93,2023-07-02,,352.656,1708.6583240932,1784.5533376997,691.8440521793,969.2504957925,,697.7358325807,337.5088593635,,479.7551956704,565.9686333447,496.3244139368,372.454198805,180.4356810004,206.7494126741,71.8747335097,138.384,190.0396035847,76.5004018557,37.70223069,,2.5517430336,78.1241687351,,67.259804016,,58.6533726704,43.382399688,48.8827959321,0.0,0.2547823552,59.36,16.9141482303,7.94034,36.1085077515,19.750875,16.9845162094,29.66,24,0.820440048,19.92,7.4202175502,0.4102947426,37.8351299039,8.67721212,,5.9693849992,4.9266619887,2.32221,5.01486995,11.721431667,0.0,,1.3805445,5.4977333431,2.4,2.9233597835,2.2510167081,2.97385e-05,0.930407886,,0.2352249,,,,,,0.0,0.0,0.0003139728,0.06,,0.0001821104,,,,,,,,,1.70012e-05,2.4355e-06,8.253e-07,,,,,,,,,9988.939546576
94,2023-07-03,,352.656,1716.8728662343,1869.6930573398,681.5151225711,929.1191683571,,796.7213637814,722.5515330931,,491.0218749632,565.9924498263,540.3434605465,372.4541993071,180.4765292802,277.7802094512,81.5946426569,138.384,185.1719023807,74.8240947058,36.065875695,,9.1639942798,78.2807932546,2.6933767376,76.388804008,,58.6533717419,43.515595404,48.8878254647,0.0,0.3098010282,62.04,16.9994349047,8.68062,10.4127958877,22.2258375,16.9845164072,28.68,24,0.504161556,19.92,7.4071490191,15.9596128326,38.0011600187,8.39429974,,2.4902343398,5.2457263753,3.51261,5.0239960177,8.3833607059,0.0,,1.4647353,5.5494601678,2.4,2.9061693978,2.2719068018,2.55972e-05,0.93092292,,0.4165749,,,,,,0.0,0.0,0.0011217791,0.06,,0.000220864,,,,,,,,,1.76034e-05,9.9819e-06,1.2167e-06,,0.0,,,,,,,10651.9985939429
95,2023-07-04,,352.656,1714.9898311702,1927.6090421948,731.0871659911,980.2429919256,,811.3997238619,798.2536658925,,580.561005071,566.0001604106,535.0399520987,372.4541997747,181.5431675518,241.9921912934,86.8486984293,138.384,174.9985443417,74.6653284412,42.14005119,,9.6592321309,77.6748901126,2.702524192,70.8631892139,,58.6533739937,43.629376812,48.8887488034,0.0,23.7063993972,62.04,17.0494457599,8.25375,55.6032323134,22.968675,16.9845166402,33.32,24,0.249614046,19.92,7.4485814043,17.2490429332,38.2360717624,8.19799179,,9.2644318008,5.1263270318,3.23733,5.2572828216,5.6492004439,0.0,,1.4508465,5.5438874982,2.4,2.8867912949,2.2688252048,2.70486e-05,0.93050721,,0.84554205,2.232,,,,,0.0,0.0,0.001902894,0.06,,0.0167326857,,,,,,,,,1.57968e-05,1.06688e-05,9.047e-07,,,,,,,,,11025.3360377982
96,2023-07-05,,352.656,1710.3606040776,1924.0419563349,780.0216206916,1015.3464096136,,881.8484566157,758.647321556,,513.6755262867,566.0017510067,567.0530127186,362.7524397929,182.0878020327,230.3105023101,97.6735384103,138.384,167.4654060816,74.8954249235,50.230186755,,11.9233541753,76.3057310323,2.6933605991,68.6499551163,,58.6533709076,43.591276572,48.8890599069,0.0,30.4832474936,62.04,17.1948055518,7.59345,104.2767842936,22.2816375,16.9845162458,33.78,24,0.48623655,19.92,7.5405571506,18.7389265952,38.4742009369,8.30354808,,15.0514179223,5.4561744049,3.1062,5.3004600864,10.5032593215,0.0,,1.4867631,5.5494996265,2.4,2.8139976064,2.282066212,2.7621e-05,0.931126032,,0.5547543,,,,,,0.0,0.0,0.0019038174,0.06,,0.0009336995,,,,,,,,,1.76034e-05,2.6918e-06,8.253e-07,,,,,,,,,11151.7545827849
97,2023-07-06,,352.656,1697.0390927455,1936.3366201317,772.0887340529,992.7512684005,,776.2806425558,763.2632200345,,454.7724118514,566.0004609217,572.0909944565,358.0457101913,184.4939128066,239.3802542166,98.6064911402,138.384,168.9967263971,74.4063267463,43.02201018,,12.6127654281,74.3546162039,2.7007196049,67.751128997,,65.0610755615,43.601004,48.5149420503,0.0,30.400562172,61.96,17.2973781308,8.52903,37.6101710453,22.2676875,16.9845034917,33.36,24,0.29795805,19.92,7.4589597703,16.7754347298,38.8358152493,8.25341091,,6.073923445,5.0621628643,3.35916,5.0531482364,3.682749296,0.0,,1.4590092,5.3605183362,2.4,2.5757515401,2.2654371726,1.92306e-05,0.930574728,,0.4286928,,,,,,0.0,0.0,0.0019117425,0.06,,4.72816e-05,,,,,,,,,1.6367e-05,5.08223e-05,1.1004e-06,,,,,,,,,10885.8752138865
98,2023-07-07,,352.656,1714.2181603039,1926.3600415294,776.7489015396,965.0077163705,,794.2119222215,758.0371453698,,520.5429421186,565.9989537348,538.6738227833,349.1772315027,183.9984868885,235.6898709288,98.0576040856,138.384,166.8443190501,74.253321529,43.921673115,,12.6428950472,74.409922595,2.7030245375,66.470128992,,70.4829698983,43.60877694,48.2439435298,0.0,29.7470624003,61.98,17.3466665522,13.71285,43.6609965886,24.3806475,16.9845140545,33.64,24,0.451982232,19.92,7.4984891984,17.492275411,38.8766932779,8.10026315,,7.4839276137,5.1991994695,5.19591,5.1662972364,3.0542673476,0.0,,1.4793162,5.5332002145,2.4,2.5436289335,2.264934537,1.57696e-05,0.93053232,,0.631935,2.232,,,,,0.0,0.0,0.0018342966,0.06,,5.66299e-05,,,,,,,,,1.71451e-05,4.115e-05,1.1004e-06,,,,,,,,,10923.3133299396
99,2023-07-08,,352.656,1730.2333524356,1867.9651321601,725.8038759665,921.4357644059,,660.7896522926,542.3239432527,,433.0135427473,566.0010866557,459.3334288701,342.7016421682,181.9434825506,231.1304915797,96.0059007595,138.384,166.8354430625,74.0749081362,37.809488055,,12.2756231931,74.3375691404,,63.122128992,,70.4829742849,43.367700852,48.2404580995,0.0,28.01574149,61.4,17.3316110983,7.45023,7.9941062824,24.289275,16.984513723,27.86,24,0.216655218,19.92,7.4419485135,15.3480430636,38.9080774514,8.06799603,,2.2348283453,4.9417854584,2.62539,5.0006113364,3.2033787552,0.0,,1.4587368,5.6686259953,2.4,2.4715248051,2.4340234504,5.5453e-06,0.930828618,,0.41293395,,,,,,0.0,0.0,0.0123415117,0.06,,4.33687e-05,,,,,,,,,1.66211e-05,,1.1004e-06,,0.0,,,,,,,10179.3508631916
100,2023-07-09,,352.656,1726.5283334618,1857.6381902849,706.2351761422,936.4432372028,,656.218320331,489.1627849519,,466.471718381,563.8922413056,440.261354898,342.7016437609,182.7188501251,227.648105728,97.7124450442,138.384,171.4691416459,73.911643349,35.760471135,,12.4291436422,73.9932920176,,62.936128992,,70.4829724946,43.35637122,48.2409719959,0.0,24.7788726855,59.32,17.3034061392,5.38656,7.1694656548,21.6817875,16.9845136,27.8,24,0.224827314,19.92,7.4593125789,15.824607751,39.0598263525,7.80243996,,2.0648180062,4.4930336292,2.73978,4.9173046364,2.7210214504,0.0931302,,1.4549157,5.4994848098,2.38,2.4610351282,2.4234965138,2.4729e-06,0.930503304,,0.3170835,,,,,,0.0,0.0,0.0163314633,0.06,,4.24028e-05,,,,,,,,,1.22497e-05,1.9929e-06,4.711e-07,,,,,,,,,10104.5401555762
101,2023-07-10,,352.656,1738.0477671802,1945.8128640429,741.4785284231,1015.4692255943,,779.2579311789,700.801447975,,418.8958185621,560.3766303143,521.2167641639,342.7016456867,184.8809650492,231.3403345107,98.2157484803,139.7962169347,178.3009650907,74.2206465637,39.734792655,0.6975,12.5063665836,74.3332933289,2.7000814241,65.819128992,,70.4829690152,43.34024874,48.2445146374,0.0,30.2396310789,62.02,17.338904564,10.34346,9.0427090635,24.4880625,16.984513379,32.82,24,0.45257985,19.92,7.4088131333,16.7783135232,39.295649561,8.35250634,,2.5462799245,5.2132332301,4.2357501,4.8807579864,3.0763318861,0.05149875,,1.4402364,5.5148003936,2.72,2.49962871,3.3275136006,9.169e-07,0.930570822,,0.55831155,2.232,,,,,0.0,0.0,0.0031371971,0.06,,0.0009292759,,,,,,,,,6.849e-06,2.7679e-06,4.711e-07,,,,,,,,,10740.104528951
102,2023-07-11,,352.656,1741.1589283576,1966.692355084,784.714977499,984.9353641882,,866.9413374745,682.7695502735,,483.5090799338,560.3763737935,579.7194568464,342.7788387222,183.8562453608,240.6558247736,102.8816752628,140.616,172.8825689469,74.8108106402,42.42617127,0.6975,12.8121393549,74.3482304578,2.7021515682,68.8131289855,,70.4829704917,43.35375234,48.2431403729,0.0,33.2071971404,61.98,17.7387614391,11.41947,21.8779099937,22.09505718,16.9845133711,34.48,24,0.70040811,19.92,7.3740989297,15.9472098014,39.5312671718,8.40886587,,4.6598341621,5.2761182094,4.8581526,5.0385500364,8.7502390942,0.03975285,,1.4246064,5.4245909678,2.9,2.5212930998,3.4310924999,2.2206e-06,0.931147236,,0.6097266,,,,,,0.0,0.0,0.0018421253,0.06,,5.93053e-05,,,,,,,,,8.0844e-06,1.46282e-05,6.298e-07,,,,,,,,,11007.4263617544
103,2023-07-12,,352.656,1730.2820997992,1943.8162987934,776.7300173932,987.9624926638,,837.2866469441,679.5425612647,,607.0896609241,560.3768446421,520.3529020128,347.2326114477,181.9760287929,240.6441570753,100.739627571,141.579061526,175.7638506106,74.8346267726,40.812363195,,12.5158945978,74.3472143772,2.7034387925,65.42312898,,70.4829716048,43.4287308,53.4927713306,0.0,32.1902797813,61.98,17.4651689484,13.43106,9.9569933906,26.551965,16.9845129541,34.74,24,1.061328276,19.92,7.4238475361,15.9920326284,39.664196527,8.47919343,,2.4755671985,5.1827965306,4.7686215,4.9980243365,3.1947518933,0.03596775,,1.4154828,5.4913126082,2.9,2.5079101414,3.9920167523,3.7965e-06,0.93192732,,3.5702886,,,,,,0.0,0.0,0.0018127559,0.06,,0.0001852823,,,,,,,,,6.8165e-06,2.4108e-06,4.711e-07,,,,,,,,,10993.4392593472
104,2023-07-13,,352.656,1710.9921217178,1922.9107033127,751.5330172629,1045.5674653402,,814.533626259,680.33948394,,544.0823281127,560.3767773082,490.6595604899,352.2769326899,187.4162091876,248.1015532408,101.375524463,142.848,179.9016506295,74.1292313175,42.600633225,,12.7819006498,74.2257351296,2.7018651008,67.1151289735,,70.4829714934,43.423458787,55.6828157448,0.0,31.6388874389,61.98,17.6437938598,13.33434,14.9429131137,27.2943375,16.9845133239,35.02,24,1.183481172,19.92,7.5047233229,16.5070925725,10.004144004,8.8810502376,,3.4953093674,5.1638888836,4.5292581,4.8496230364,3.2131694766,0.0372465,,1.4098797,5.755147451,2.88,2.4484793545,3.5530928505,5.7778e-06,0.930732084,,3.17420625,2.232,,,,,0.0,0.0,0.0018121134,0.06,,0.0009346201,,,,,,,,,1.57071e-05,4.4813e-06,9.047e-07,,,,,,,,,10879.2887775793
105,2023-07-14,,352.656,1713.3352595742,1881.8894436664,762.4950807989,991.1741595286,,850.2944269197,660.3689680657,,400.1514807446,558.7657695092,464.4731441962,351.04933567,178.8501938079,244.4139691554,102.5213808033,142.8742188176,180.9083533214,76.3614410041,40.38131238,,12.9672305638,74.183157321,2.6726877014,67.631128968,,70.4829697628,43.714430148,55.6813857019,0.0,29.5689168917,62.0,17.8994666198,18.37215,8.0401069509,26.4782625,16.9845126686,33.14,24,0.899101866,19.92,7.5204913195,16.1616111085,10.1716359241,8.4939859716,,2.3634026063,4.8605631252,5.990409,4.7886218864,4.4748569318,0.0452166,,1.3981032,5.423418065,2.88,2.4541611189,3.3507251503,2.1509e-06,0.930793464,,3.9293337,,,,,,0.0,0.0,0.0018167884,0.06,,6.06296e-05,,,,,,,,,5.0735e-06,5.9749e-06,5.506e-07,,,,,,,,,10622.8986659666
